alcaldia,consumo_total_mixto,consumo_total_dom,consumo_total,consumo_total_no_dom,poblacion,consumo_prom_dom,alcaldia_id
Álvaro Obregón,525476.88,6590161.41,9608545.2,2492906.66,759137.0,8.681122656384817,010
Azcapotzalco,918808.67,6153754.56004,8969567.32,1897004.54,432205.0,14.238045742275078,002
Benito Juárez,1069917.9,9894930.861,13780118.64,2815269.571,434153.0,22.791345127178666,014
Coyoacán,350036.32,5128303.19,7687908.29,2209569.07,614447.0,8.34620917670686,003
Cuajimalpa De Morelos,147131.73,2064264.12,2945010.61,733614.84,217686.0,9.482760122378105,004
Cuauhtémoc,2214262.43,10207690.559,18401765.79,5979812.391,545884.0,18.699376715565943,015
Gustavo A. Madero,1542992.79,9196449.15,13480100.57,2740658.66,1173351.0,7.837764786496113,005
Iztacalco,687157.63,4663497.741,6260630.651,909975.23,404695.0,11.523487418920423,006
Iztapalapa,837352.8,5263027.24,8313477.95,2213097.79,1835486.0,2.8673753109530664,007
La Magdalena Contreras,65018.72,844966.48,1271477.56,361492.27999999997,247622.0,3.412323945368344,008
Miguel Hidalgo,1162625.38,8640462.959,14490397.15,4687309.46,414470.0,20.847016572972713,016
Milpa Alta,29593.14,69125.04,145411.88,46693.700000000004,152685.0,0.4527297376952549,009
Tláhuac,86766.91,583022.2,829636.01,159846.92,392313.0,1.4861149133472507,011
Tlalpan,177280.25,2843122.03,4969014.65,1948612.46,699928.0,4.062020707844235,012
Venustiano Carranza,875518.47,5007007.891,7169204.791,1286678.39,443704.0,11.284567844779403,017
Xochimilco,238502.55,1304112.51,2034878.27,492263.07,442178.0,2.9492930674977047,013
